"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"250010","ÁGUA BRANCA","PB","11/2011","1565","","198038","","126,54",""
"250010","ÁGUA BRANCA","PB","02/2010","1346","","138304,00","","102,75",""
"250010","ÁGUA BRANCA","PB","06/2011","1412","","171132","","121,20",""
"250010","ÁGUA BRANCA","PB","12/2004","1046","","81067","","77,50",""
"250010","ÁGUA BRANCA","PB","11/2010","1298","","138764","","106,91",""
"250010","ÁGUA BRANCA","PB","02/2004","585","","48355","","82,66",""
"250010","ÁGUA BRANCA","PB","01/2010","1324","","135669","","102,47",""
"250010","ÁGUA BRANCA","PB","12/2010","1299","","139819","","107,64",""
"250010","ÁGUA BRANCA","PB","10/2011","1512","","192726","","127,46",""
"250010","ÁGUA BRANCA","PB","09/2011","1521","","192088","","126,29",""
"250010","ÁGUA BRANCA","PB","07/2010","1320","","137931","","104,49",""
"250010","ÁGUA BRANCA","PB","02/2011","1410","","143555","","101,81",""
"250010","ÁGUA BRANCA","PB","06/2004","585","","47905","","81,89",""
"250010","ÁGUA BRANCA","PB","03/2004","585","","48310","","82,58",""
"250010","ÁGUA BRANCA","PB","12/2023","","1851","","1268930,0","","687,39"
"250010","ÁGUA BRANCA","PB","11/2023","","1864","","1268949,0","","682,60"
"250010","ÁGUA BRANCA","PB","04/2004","585","","48010","","82,07",""
"250010","ÁGUA BRANCA","PB","10/2023","","1878","","1290688,0","","687,27"
"250010","ÁGUA BRANCA","PB","09/2023","","1886","","1290729","","685,10"
"250010","ÁGUA BRANCA","PB","08/2023","","1909","","1294312,00","","678,72"
"250010","ÁGUA BRANCA","PB","07/2023","","1923","","1293480,00","","675,09"
"250010","ÁGUA BRANCA","PB","06/2023","","1928","","1342381","","696,26"
"250010","ÁGUA BRANCA","PB","05/2023","","1941","","1296390","","669,97"
"250010","ÁGUA BRANCA","PB","04/2023","","1943","","1296757","","669,81"
"250010","ÁGUA BRANCA","PB","01/2004","585","","48355","","82,66",""
"250010","ÁGUA BRANCA","PB","10/2010","1301","","141237","","108,56",""
"250010","ÁGUA BRANCA","PB","05/2011","1420","","173510","","122,19",""
"250010","ÁGUA BRANCA","PB","09/2004","619","","50440","","81,49",""
"250010","ÁGUA BRANCA","PB","03/2011","1410","","142888","","101,34",""
"250010","ÁGUA BRANCA","PB","05/2010","1346","","139918","","103,95",""
"250010","ÁGUA BRANCA","PB","08/2004","585","","47725","","81,58",""
"250010","ÁGUA BRANCA","PB","03/2023","","1921","","1285435","","670,90"
"250010","ÁGUA BRANCA","PB","06/2010","1343","","140147","","104,35",""
"250010","ÁGUA BRANCA","PB","09/2010","1318","","138478","","105,07",""
"250010","ÁGUA BRANCA","PB","04/2011","1426","","172142","","120,72",""
